,molecule_pref_name,molecule_chembl_id,canonical_smiles,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,CEFUROXIME,CHEMBL1436,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,12.570376984126984,12.570376984126984,0.14007717798583208,-1.353039805045577,0.2950080485966616,21.20689655172414,424.39100000000013,408.26300000000015,424.068884472,154,0,0.4043169046366358,-0.4765594507471282,0.4765594507471282,0.4043169046366358,1.4827586206896552,2.2413793103448274,2.8275862068965516,32.16663719983965,10.022924719185704,2.5414866413609296,-2.4887264834864617,2.399348919122595,-2.707076423996176,7.998379895658457,-0.14982378218582243,3.2117695800267883,1.7656451097478199,910.0305400679028,21.129027554137902,14.985942287721631,15.802438868649357,13.845443010499071,8.128755537984041,9.177510327964702,5.825732998833401,6.9307255044153475,4.0772887877699935,5.4169224928496575,2.865114289356257,4.192387989470675,-3.48,2993394.942741607,20.25931432531098,8.261449020580429,3.8927178975532515,167.19324259000268,30.14858595059925,30.829432460962984,5.760247418874442,5.711685002770702,11.814359458703011,12.062545358890265,14.488984098994122,9.589074368143644,0.0,11.761884949391115,5.15571272675054,12.13273413692322,11.325958136816055,6.263162995639057,38.276278605718026,41.350474769755095,0.0,10.216698334856808,10.889380203912726,11.4157136421167,19.469533112537242,35.42628839456182,0.0,0.0,11.050456081168516,4.794537184071822,0.0,11.761884949391115,70.48027370070909,23.958063089752148,0.0,5.760247418874442,39.23890463949127,0.0,0.0,0.0,173.76,35.29261845970998,24.284676131127995,0.0,35.10181183602995,0.0,4.899909730850478,31.201212554769313,6.06636706846161,0.0,20.046952868293552,10.150818414215532,9.788182952922519,1.2127753369866463,53.26880302551888,14.992682296527377,4.677174765480488,-2.382150516874889,2.079614207581483,0.289814579016072,-0.34659644549841206,1.2530331316731722,0.3125,29,4,12,0,2,2,0,1,1,9,3,13,7,0,1,1,3,-0.5359999999999987,97.4739,1,0,0,0,0,0,0,0,1,1,4,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,CEFAZOLIN,CHEMBL1435,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,12.59807742658843,12.59807742658843,0.01531252624506596,-1.1609622835844886,0.4051904538567723,21.0,454.5190000000002,440.40700000000015,454.0300139280001,152,0,0.35215849835095253,-0.4765606782889641,0.4765606782889641,0.35215849835095253,1.4137931034482758,2.2413793103448274,2.896551724137931,32.194712307118486,10.030576682151844,2.5363501252492062,-2.4902971737906014,2.4128188576721565,-2.7038417030905935,8.01450337730999,-0.1503728785919515,3.3458062780360796,1.4374120949777263,990.9137443081793,20.543241116511,14.880569657911366,17.330059400694545,13.935560745775547,8.267999599287728,11.118849529849602,6.095372750865018,9.604477185504212,4.140728477698629,7.538646066948282,2.8988858510512423,6.199438782691767,-2.5200000000000005,4550942.278740729,19.78162067422846,8.076871617315621,3.970577608495778,175.66786055792278,10.423315998847038,34.992453132702416,4.339655680673546,5.907179729351506,5.907179729351506,5.969305287951849,14.48898409899412,9.476340119217006,0.0,27.05793037429423,23.098670827325854,22.923611921069625,11.505707213493578,0.0,19.49013894705617,52.64422052337183,0.0,40.62131688621484,0.0,29.223862928393444,11.505707213493578,22.60508761474241,0.0,0.0,5.316788604006331,0.0,0.0,34.860555776716964,81.11614127931435,20.928367958128042,6.923737199690624,5.007623696852765,21.937119598563186,0.0,0.0,0.0,156.08999999999997,29.199378388771564,19.49013894705617,0.0,12.241795718968408,17.078811743562845,9.347279377526311,50.769588517477175,0.0,6.923737199690624,31.03960422021918,0.0,1.9784246318012204,4.242892128306505,37.81929317662595,31.125597457150874,0.6267425329100114,-1.1889873213750726,-0.7793093500281454,1.2901944440950919,1.7184856338468966,0.0,0.42857142857142855,29,2,12,0,2,2,0,2,2,12,2,15,7,0,1,1,4,-0.6360799999999995,102.87150000000001,1,0,0,0,0,6,0,0,1,1,3,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
2,MINOCYCLINE,CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,13.493332231040565,13.493332231040565,0.001835212480054249,-2.625690428949357,0.3983715598370969,29.09090909090909,457.48300000000023,430.2670000000002,457.1849002039999,176,0,0.2554508355018643,-0.5096506201153844,0.5096506201153844,0.2554508355018643,1.121212121212121,1.7575757575757576,2.303030303030303,16.348777021799002,9.582829117847911,2.6282442826813504,-2.4978115111089623,2.5248006307370714,-2.634144548889417,6.244613027246311,-0.14805782175710971,2.696370198604367,1.9774201929495312,1166.8313772844322,24.56603143178021,18.78634162190219,18.78634162190219,15.333034774320174,10.50447543241309,10.50447543241309,9.314889106217365,9.314889106217365,7.0630484795127515,7.0630484795127515,5.653254264065057,5.653254264065057,-3.3700000000000006,12957846.497735659,22.810783361285985,7.323534247616357,2.9029495431990915,189.75977888561786,31.059686787375483,22.840946106665523,11.384295757348628,5.783244946364939,5.907179729351506,0.0,19.28352128306594,0.0,0.0,0.0,0.0,50.551078885988005,31.2737408162686,11.605292320844956,34.809721131578286,23.161055896764946,0.0,4.899909730850478,17.569479569484972,24.48453488598367,33.09059766155924,45.9241759237681,0.0,5.749511833283905,10.633577208012664,5.687386274683562,5.749511833283905,0.0,82.6332685031351,16.00989599106965,11.835812092322787,22.342261790391824,34.79727294037411,0.0,0.0,0.0,164.63,58.04380762791743,34.809721131578286,0.0,29.72771110090219,5.563451491696996,5.687386274683562,10.966276799312087,39.156964730020846,0.0,0.0,5.733667477162185,0.0,0.0,41.99603909946118,43.92288835409687,3.0228792870278838,-6.533286028662561,2.0626571356082986,0.3241453294280674,0.0,6.788010156373598,0.43478260869565216,33,6,10,3,0,3,1,0,1,9,5,10,3,0,0,0,4,0.1866000000000017,118.00110000000006,0,3,2,0,0,0,0,1,0,0,3,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DOXYCYCLINE ANHYDROUS,CHEMBL1433,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,13.31702837616528,13.31702837616528,0.10372034307550182,-2.894779029667421,0.33221748790379735,34.375,444.44000000000017,420.2480000000002,444.153265728,170,0,0.25545086784354076,-0.5096487483979377,0.5096487483979377,0.25545086784354076,1.15625,1.78125,2.34375,16.354356980072218,9.549550216356783,2.667947551284798,-2.5307203712433948,2.548209103120037,-2.6810530764442935,6.245083295667846,-0.1617885190755829,2.6996376544886194,2.060772795273567,1136.740039291983,23.85892465059366,17.60417886709797,17.60417886709797,14.86670827913139,10.015700808543269,10.015700808543269,8.79205156904039,8.79205156904039,6.995803337344769,6.995803337344769,5.582348034992953,5.582348034992953,-3.2100000000000004,8427682.935942445,22.00076096960224,6.893358820274297,2.4784840440451297,182.42923685321395,31.266304451365713,22.840946106665523,11.384295757348628,5.783244946364939,5.907179729351506,0.0,19.283521283065944,0.0,0.0,0.0,19.056471336613843,31.64306857167438,11.49101057623066,23.627164754754652,39.91624852641899,17.473669622081385,0.0,4.899909730850478,17.56947956948497,30.58850127373197,14.09534396535438,51.990542992229706,0.0,5.749511833283905,5.733667477162185,0.0,5.749511833283905,0.0,79.74841832036971,9.589074368143644,11.835812092322787,28.76308341331783,40.863640008835716,0.0,0.0,0.0,181.62,75.6387845918964,39.91624852641899,0.0,11.3129633249809,5.563451491696996,0.0,25.06162076466647,19.056471336613843,0.0,0.0,5.733667477162185,0.0,0.0,39.81791594612031,55.033717988394216,1.3628127161422192,-8.859922348441467,3.1664695181778963,-1.5895597127739987,1.6766898673049466,2.975209358409214,0.4090909090909091,32,7,10,3,0,3,1,0,1,9,6,10,2,0,0,0,4,-0.3475999999999985,109.7749,0,4,3,0,0,0,0,1,0,0,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CASPOFUNGIN,CHEMBL1630575,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,14.58157956813577,14.58157956813577,0.025749020190878102,-2.278499976205487,0.04771559004774137,28.636363636363637,1093.3310000000001,1004.6269999999996,1092.6430621160002,436,0,0.24812672771139513,-0.507966618118517,0.507966618118517,0.24812672771139513,0.7142857142857143,1.3376623376623376,1.974025974025974,16.333039997077126,9.910416136913367,2.4865340845166335,-2.3468047597089106,2.266259610865108,-2.6461715091410407,5.979840534258859,-0.14786589500747171,3.9857906686326863,1.7284931418878824,2074.349680302839,57.09455392252971,44.966608752962756,44.966608752962756,36.51949227909159,27.333571050382222,27.333571050382222,21.265953691752227,21.265953691752227,14.891991285270336,14.891991285270336,10.247943166725829,10.247943166725829,-5.090000000000001,1.457587772807438e+16,64.43542025199963,31.48852484658041,18.777854305872005,450.1843934751082,88.70331659478265,60.37426519580279,0.0,41.35025810546054,0.0,0.0,38.87854889250908,0.0,0.0,0.0,77.84969709647719,68.68377781825023,45.44149049242832,30.51983193874151,74.4139794472284,41.35025810546054,0.0,41.700551085738944,23.303147046647158,202.73103682098704,32.72378202956288,29.828919765543436,0.0,5.749511833283905,43.36806657836236,0.0,5.749511833283905,0.0,203.76669766896208,33.561760288502754,11.835812092322787,129.25386939917198,24.26546827384644,0.0,0.0,0.0,412.03,145.88124305848555,74.4139794472284,0.0,56.75445381740922,24.677455338174806,55.24848639894765,30.686289896772447,0.0,0.0,52.671943223109864,11.46733495432437,0.0,0.0,101.94559033069208,104.44877681683839,11.481137772390094,-6.433898095605358,-6.397253178664504,-6.945233936918253,6.734213624600862,0.0,0.75,77,18,25,0,3,3,1,0,1,18,16,25,23,0,3,3,4,-3.31190000000001,280.1883999999996,0,7,7,0,0,0,0,1,0,0,7,7,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
5,TELITHROMYCIN,CHEMBL1136,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,14.70737711355845,14.70737711355845,0.1296104351757319,-1.4006977404590728,0.18428343482926154,36.706896551724135,812.0179999999997,746.4979999999998,811.4731432799999,322,0,0.41043606518068704,-0.45750160330158407,0.45750160330158407,0.41043606518068704,1.0172413793103448,1.7241379310344827,2.3620689655172415,16.70748827882859,9.729480844332713,2.600204459700913,-2.467655245162124,2.429063567701383,-2.6000588033232,5.997195173671859,-0.29496742985072977,3.7770062822352926,1.433018751220468,1740.3154469653934,42.68914100752344,36.12221823170397,36.12221823170397,27.35915322035959,20.765271350934057,20.765271350934057,17.324129391779422,17.324129391779422,12.817124642628675,12.817124642628675,9.431301116576458,9.431301116576458,-3.7600000000000002,2859184098270.0776,45.32658940647265,18.660074978896265,9.331029340387971,342.6301213786695,43.15776127333326,23.90908376802294,17.67432248668384,0.0,0.0,12.062545358890265,19.367590073162674,9.77851570501903,0.0,0.0,27.694948798762496,86.02713501567015,68.14885152727103,35.872072485241254,47.96899090012823,23.62903525162014,0.0,24.334876151386727,23.671624184645573,148.03043767865933,27.749897912544487,37.050584926526994,0.0,11.257379486545457,0.0,4.794537184071822,0.0,0.0,134.8120122709838,44.61268272712828,23.671624184645573,87.49400571215504,37.050584926526994,0.0,11.257379486545457,0.0,171.85,83.36328283359623,24.28467613112799,0.0,30.77069540911322,32.35197768060318,11.257379486545457,14.033534740968157,51.31586574760367,62.663142651604375,9.967957041894417,23.684314769000245,33.20729888219853,0.0,69.03610456780456,11.44005107924518,-0.9379326035652853,-4.950398125681769,2.7431118752784447,4.453634909719477,14.93365195606367,5.2411441256038795,0.7209302325581395,58,1,15,0,3,3,0,2,2,14,1,15,11,0,3,3,5,4.929200000000005,214.2507999999992,0,1,1,0,0,3,0,0,0,0,4,4,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,TIAMULIN,CHEMBL1234521,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,13.427777834009138,13.427777834009138,0.008278541702097852,-0.6240705107657254,0.2779455113263588,42.11764705882353,493.75400000000036,446.3780000000003,493.32257998399996,194,0,0.3156865900000569,-0.4611012508623378,0.4611012508623378,0.3156865900000569,1.2647058823529411,1.9411764705882353,2.5588235294117645,32.16649275137012,9.435868822388294,2.6777535810014377,-2.614141638843159,2.674968613812876,-2.6269641670637913,7.9945809562792025,-0.2049049894029181,3.174773317786528,1.8800042595835254,769.5050691458885,25.311190308942123,22.269696561045144,23.08619314197287,15.995237340291181,13.336467488280753,14.491168026660004,11.643786373913027,12.748958089435565,10.241693709701705,11.152769435759016,7.5830818315129935,8.349425781841784,-0.8500000000000001,24502938.563956235,27.73287080971815,10.638984038557782,4.636334046809434,210.99935850112504,14.743300079491233,11.887211334113243,0.0,0.0,0.0,5.969305287951849,9.589074368143644,0.0,0.0,18.34082063298961,47.61844330497762,56.02360186524875,35.46631862054033,11.85681999449509,19.432464716784395,23.514435183707903,0.0,4.899909730850478,33.99868954667452,85.8544640882704,31.139976431231304,12.654955790432378,0.0,0.0,0.0,0.0,0.0,11.761884949391115,65.10689656673587,14.325937321943691,33.99868954667452,73.6465313127738,12.654955790432378,0.0,0.0,0.0,66.84,23.037913714290163,14.69560176298435,0.0,29.138013895832806,24.377741798963747,44.649587693262546,0.0,11.761884949391115,12.999757306524504,46.097531412902086,4.736862953800049,6.29532171201814,1.6139867961073318,28.86663986638714,11.583744968780177,-1.2501399155594435,1.3737902616515834,0.0,4.644396415469405,19.955593228479003,0.0,0.8571428571428571,34,1,5,3,0,3,0,0,0,6,1,6,9,3,0,3,3,4.967900000000006,139.75379999999996,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,GRATISIN,CHEMBL556327,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,15.272933250855864,15.272933250855864,0.01523446433851161,-1.4150790195346377,0.0602387873983623,25.150943396226417,1467.822,1356.9419999999989,1466.8325941999994,576,0,0.24567554302599384,-0.5079666451556014,0.5079666451556014,0.24567554302599384,0.3490566037735849,0.6320754716981132,0.9528301886792453,16.258071287102815,9.983168590463594,2.4383830177336785,-2.321660040456517,2.248553998282229,-2.6201261441965746,6.005916592139918,-0.14254957781349836,1.5239608292674949,1.3010406803415948,3403.2852845830234,77.31152162540768,62.20036561975049,62.20036561975049,50.52833400773794,37.22288327058555,37.22288327058555,29.570756071566933,29.570756071566933,19.323593525609404,19.323593525609404,13.573368984302789,13.573368984302789,-9.960000000000004,8.35999579941895e+26,83.31517421550583,40.510298486157495,24.565090600190686,620.5168697299482,84.64809524577008,84.00111361634332,0.0,70.88615675221807,0.0,0.0,57.53444620886186,0.0,0.0,0.0,140.31903655598754,147.48862746636527,38.77279930352918,0.0,67.74750099854327,70.88615675221807,0.0,62.96770550176427,35.13895913896994,217.7834902682647,26.1790256236503,131.44841319909702,0.0,11.49902366656781,64.6352209943877,0.0,11.49902366656781,0.0,189.58014657702626,83.21773270056592,23.671624184645573,141.85191979357307,109.19460723230902,0.0,0.0,0.0,424.11999999999983,155.22405879431636,58.158426630399624,9.589074368143644,126.56372085765304,35.09544921264,0.0,34.0652877355474,112.62408775722507,27.694948798762496,53.167886040063316,11.46733495432437,0.0,0.0,181.9885216851539,48.85404837026866,14.28447054270061,-10.892983630402094,13.710093519951979,1.0578782237535274,14.331304621906762,0.0,0.5384615384615384,106,16,28,0,3,3,4,0,4,16,14,28,20,0,3,3,7,2.093999999999991,397.8534000000012,0,0,0,0,0,0,0,2,0,0,12,12,0,0,0,2,10,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NALIDIXIC ACID,CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,11.915192743764171,11.915192743764171,0.2175897581254722,-1.2086342592592592,0.849523695002097,10.705882352941176,232.23899999999998,220.14299999999994,232.084792244,88,0,0.340724876931317,-0.477497012873671,0.477497012873671,0.340724876931317,1.4705882352941178,2.176470588235294,2.764705882352941,16.3662062455948,10.155716134305777,2.139668647206296,-2.087686383548214,2.102661252903601,-2.1896696534828974,5.912009278466034,0.06945906034956814,2.285678030368675,2.9467439727581026,658.5837076111416,12.576985790260121,9.597294956183026,9.597294956183026,8.040912557858759,5.2835676555320985,5.2835676555320985,3.786866610614189,3.786866610614189,2.6316954218567714,2.6316954218567714,1.753265613897909,1.753265613897909,-2.17,6765.606969891278,11.319407152511545,4.008920169778624,1.79576665863494,97.3393815095905,9.67362704263206,11.210628712464723,0.0,5.428790391900541,0.0,5.969305287951849,4.794537184071822,9.77851570501903,0.0,0.0,0.0,25.980208536304467,18.435527972374114,5.386224214464796,9.901064578912528,17.00270672318437,0.0,9.551078168738563,0.0,20.392230805293824,0.0,39.810284771054114,0.0,0.0,5.428790391900541,0.0,0.0,0.0,20.626910851531118,6.544756405912575,6.923737199690624,22.9756538703079,23.124114892608116,0.0,11.033401435232523,0.0,72.19,11.39809567985239,9.589074368143644,0.0,5.563451491696996,17.5781578411451,5.693927994848461,6.196843571613076,16.699833784714574,13.847474399381248,4.9839785209472085,5.106527394840706,1.6737962962962962,0.0,27.15973198538675,9.310701215671454,0.6244241307634169,-1.2086342592592592,3.3273450491307637,1.3466666666666667,4.265968915343915,0.0,0.25,17,1,5,0,0,0,0,2,2,4,1,5,2,0,0,0,2,1.4230200000000002,63.37330000000001,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9,NORFLOXACIN,CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,14.494908824640966,14.494908824640966,0.10012448034769461,-1.3002874155733097,0.8910262977655082,15.130434782608695,319.336,301.192,319.133219656,122,0,0.3407228506021564,-0.4774970240990653,0.4774970240990653,0.3407228506021564,1.3478260869565217,2.0434782608695654,2.652173913043478,19.14221518143298,10.092123924340122,2.1946700897479268,-2.2972104789585517,2.252222004649493,-2.4348910981489884,5.931132392711098,0.06945653362619633,2.554556529077141,2.243584852361737,825.4107594006955,16.560113453385565,12.803686553938444,12.803686553938444,11.024075805453153,7.58252234336325,7.58252234336325,5.520883450058765,5.520883450058765,4.177541915123679,4.177541915123679,2.961433451421673,2.961433451421673,-2.41,179503.57818519254,15.484342065117133,6.000303361348931,2.6762994529205364,131.68395997504226,19.890325377488868,11.38067233274289,0.0,5.428790391900541,0.0,5.969305287951849,4.794537184071822,9.184952231746642,0.0,0.0,0.0,19.056471336613843,44.306849815640746,11.204086992299825,14.291479626587348,22.559616494716465,0.0,9.883888251797686,0.0,13.4684936056032,31.078935354500782,39.93357761725155,0.0,0.0,15.64548872675735,10.077801322358383,0.0,0.0,41.82195795423421,6.544756405912575,5.817220841045895,17.28172587545944,23.124114892608116,0.0,10.902924932081056,0.0,74.57000000000001,17.215316520898284,13.979489415818463,0.0,10.949675706161791,30.838356210037553,19.15587988028676,6.196843571613076,10.633466716252965,11.823646930541102,5.316788604006331,5.106527394840706,16.166856339758123,0.0,25.435370699626652,12.458817109501183,0.011797209624591076,-1.7987209000782234,2.805705782312925,1.3258372700932224,5.261003155828191,0.0,0.375,23,2,6,0,1,1,1,1,2,5,2,7,3,0,1,1,3,1.2683,85.88200000000003,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
