IdList,name,Superkingdom
1280,Staphylococcus aureus,Bacteria
1313,Streptococcus pneumoniae,Bacteria
1314,Streptococcus pyogenes,Bacteria
562,Escherichia coli,Bacteria
583,Proteus,Eukaryota
590,Salmonella,Bacteria
570,Klebsiella,Bacteria
286,Pseudomonas,Bacteria
613,Serratia,Eukaryota
547,Enterobacter,Bacteria
507,Alcaligenes,Bacteria
33053,Neisseria perflava,Bacteria
1279,Staphylococcus,Bacteria
1386,Bacillus,Eukaryota
1301,Streptococcus,Bacteria
1266,Sarcina,Bacteria
573,Klebsiella pneumoniae,Bacteria
28901,Salmonella enterica,Bacteria
550,Enterobacter cloacae,Bacteria
727,Haemophilus influenzae,Bacteria
79880,Shouchella clausii,Bacteria
1306,Streptococcus sp.,Bacteria
1306,Streptococcus sp.,Bacteria
78535,Streptococcus viridans,Bacteria
480,Moraxella catarrhalis,Bacteria
584,Proteus mirabilis,Bacteria
470,Acinetobacter baumannii,Bacteria
287,Pseudomonas aeruginosa,Bacteria
28901,Salmonella enterica,Bacteria
294,Pseudomonas fluorescens,Bacteria
588,Providencia stuartii,Bacteria
43767,Prescottella equi,Bacteria
1639,Listeria monocytogenes,Bacteria
43765,Corynebacterium amycolatum,Bacteria
38289,Corynebacterium jeikeium,Bacteria
37637,Corynebacterium pseudodiphtheriticum,Bacteria
43770,Corynebacterium striatum,Bacteria
43771,Corynebacterium urealyticum,Bacteria
40324,Stenotrophomonas maltophilia,Bacteria
38301,Corynebacterium minutissimum,Bacteria
1725,Corynebacterium xerosis,Bacteria
546,Citrobacter freundii,Bacteria
29471,Pectobacterium atrosepticum,Bacteria
76860,Streptococcus constellatus,Bacteria
1303,Streptococcus oralis,Bacteria
1338,Streptococcus intermedius,Bacteria
28037,Streptococcus mitis,Bacteria
1311,Streptococcus agalactiae,Bacteria
95486,Burkholderia cenocepacia,Bacteria
48296,Acinetobacter pittii,Bacteria
1313,Streptococcus pneumoniae,Bacteria
487,Neisseria meningitidis,Bacteria
197,Campylobacter jejuni,Bacteria
195,Campylobacter coli,Bacteria
253,Chryseobacterium indologenes,Bacteria
630,Yersinia enterocolitica,Bacteria
1282,Staphylococcus epidermidis,Bacteria
1423,Bacillus subtilis,Bacteria
1396,Bacillus cereus,Bacteria
1270,Micrococcus luteus,Bacteria
10116,Rattus norvegicus,Eukaryota
